HIP	HD	2MASS	Fe	Eu	EuII	
19925 	27063 	04163025-0034219 	0.0395 	0.04 		
20625 	28471 	04250916-6404486 	-0.054 	-0.04 		
21172 	28821 	04322147-0502203 	-0.15 	-0.08 	0.28 	
22905 	31527 	04553838-2314308 	-0.2 	0.275 	0.19 	
23128 	31822 	04583577-0920032 	-0.22 	-0.284 		
23627 	32724 	05044756-1141562 	-0.2 			
669 	361 	00081636-1449281 	-0.15 	-0.04 		
25616 	36108 	05282102-2226020 	-0.24 	-0.17 		
25840 	36379 	05305992-1004516 	-0.2 	-0.129 		
26834 	37986 	05415367-1537499 	0.245 	0.47 		
3170 	3823 	00402566-5927168 	-0.31 	-0.2965 	-0.12 	
27058 	38277 	05441758-1001000 	-0.1 	-0.02 	-0.02 	
27075 	38382 	05442839-2007358 	-2.498e-16 	0.32 	0.24 	
27435 	38858 	05483495-0405404 	-0.23 	-0.08 	0.22 	
27244 	38973 	05462799-5313095 	0.02 	-0.0675 		
3559 	4307 	00452869-1252504 	-0.19 	-0.06 	0.02 	
29788 	44120 	06161877-5912483 	0.09 	-0.018 		
30243 	44420 	06214353-0032206 	0.26 	0.25 		
29673 	44447 	06150603-7142102 	-0.25 	-0.19 		
30104 	44594 	06200615-4844280 	0.12 	0.1 		
30503 	45184 	06244387-2846483 	0.0435 	0.425 	0.25 	
30476 	45289 	06242436-4250512 	-0.05 	-0.085 	-0.06 	
3979 	4915 	00511082-0502213 	-0.24 	-0.095 		
33094 	50806 	06533391-2832228 	0.03 	0.57 	0.23 	
34879 	55693 	07130268-2413323 	0.26 	0.535 	0.42 	
36210 	59468 	07272546-5124094 	0.03 	0.05 		
36640 	59984 	07320577-0852524 	-0.72 	-0.39 	-0.5 	
39298 	66221 	08020537-1248163 	0.14 	0.21 		
5280 	6735 	01073204-4144479 	-0.09 	-0.065 		
39710 	67458 	08070049-2924102 	-0.19 	-0.07 		
40283 	68978 	08133452-3144075 	0.015 	-0.058 		
40438 	69655 	08152522-5203371 	-0.21 	-0.254 		
41134 	70889 	08233178-2749206 	0.08 	0.468 	0.23 	
41317 	71334 	08254952-2955505 	-0.075 	-0.06 		
5578 	7134 	01113207-1250350 	-0.32 	-0.21 		
41479 	71479 	08273512-0508551 	0.21 	0.213 		
41926 	72673 	08325148-3130031 	-0.37 	-0.08 		
42011 	72769 	08334572-2321200 	0.27 	-0.035 		
42123 	73121 	08351253-3958136 	0.06 	-0.0015 		
42291 	73524 	08372000-4008516 	0.13 	0.1325 		
43726 	76151 	08541798-0526040 	0.1 	-0.01 	0.19 	
44713 	78429 	09063883-4329312 	0.079 	-0.045 	0.22 	
44860 	78558 	09082530-1508408 	-0.43 	-0.21 	0.02 	
44896 	78612 	09084981-1045268 	-0.255 	-0.07 	0.01 	
47225 	83529 		-0.25 	-0.23 		
6455 	8406 	01230088-1629146 	-0.105 	-0.09 	0.13 	
49615 	87838 	10073383-0626211 	-0.44 	-0.13 		
50139 	88725 	10140833+0309046 	-0.66 	-0.03 	0.17 	
50075 	88742 	10132474-3301542 	-0.05 	-0.1445 		
50534 	89454 	10191628-1122426 	0.09 	0.14 		
51510 	91267 	10310876-5315273 	-0.04 	0.3 		
52316 	92588 	10412418-0144293 	0.01 	0.23 	0.14 	
52369 	92719 	10421329-1347154 	-0.13 	-0.04 		
