HIP	HD	2MASS	Fe	Eu	EuII	
95572 	182900 	19262413+1301256 	0.05 	0.76 		
95586 	182901 	19263193+1151040 	0.13 	1.44 	0.52 	
96365 	184574 	19353346-1215112 	-0.085 	-0.14 	0.01 	
96428 	184944 	19361568+1423280 	0.075 	0.22 	0.28 	
97070 	186815 	19433947+5702337 	-0.22 	0.06 	-0.02 	
97077 	186486 	19434291+2546188 	0.055 	0.27 	0.25 	
97499 	187195 	19490221-1052145 	0.105 	0.22 	0.17 	
98138 	188993 	19564168+3056501 		0.16 	0.065 	
98314 	189186 	19583262+0755144 	-0.385 	-0.28 	-0.19 	
100953 	194937 	20280754+0826147 	-0.04 	0.02 	0.08 	
101101 	195135 	20293899-0253078 	0.195 	0.47 	0.27 	
101936 	196758 		0.085 	0.12 	0.12 	
102388 	197752 	20445249+2516140 	-0.075 	-0.07 		
102453 	197912 		-0.045 	-0.01 		
103414 	199442 	20571057+0027495 	0.185 	0.27 	0.31 	
104557 	201567 	21104693-0921145 	0.155 	0.2 		
105411 	203344 	21210438+2351214 	-0.14 	0.08 	0.11 	
105497 	203644 	21220043+4923199 	0.1 	0.1 	0.1 	
106081 	204642 	21291537+2834589 	0.105 	0.26 	0.1 	
106551 	205512 	21344658+3832027 	0.01 	-0.09 	-0.01 	
106922 	205972 	21391520-1353413 	0.1 	0.09 		
107119 	206952 	21415530+7118411 	0.185 	0.05 	0.23 	
107230 	207130 	21430404+7219121 	0.15 	0.14 	0.28 	
108784 	209240 	22021183-1754124 	-0.045 	-0.01 	-0.02 	
109585 	210905 	22115688+5905043 	0.155 	0.36 	0.15 	
110089 	211607 	22180408+1357013 	0.15 	0.34 	0.2 	
110391 	212010 	22213556-2135535 	-0.185 	-0.26 	-0.09 	
111282 	213619 	22323942+1302402 	0.06 	1.07 		
112067 	214995 	22415746+1430590 	-0.015 	0.1 	-0.03 	
112997 	216489 	22530226+1650282 	-0.085 	0.65 	0.14 	
114842 	219409 	23154471-2950511 	-0.05 	-0.06 	-0.03 	
115227 	220009 	23202058+0522528 	-0.67 	-0.52 	-0.46 	
115919 	221115 	23290929+1245379 	0.065 	0.14 	0.16 	
117314 	223170 	23471591-1154399 	0.06 	0.06 		
3693 	4502 	00472037+2416017 	-0.47 	-0.11 		
4292 	5234 		-0.04 	-0.08 		
5928 	6319 	01161314+8708438 	0.17 	0.19 		
7884 	10380 	01412588+0529156 	-0.3 	-0.41 		
10053 	13174 		0.44 	0.8 		
10280 	13480 		-0.06 	0.68 		
22881 	31444 	04551865-1625042 	-0.07 	0.34 		
24479 	33618 	05151142+5924205 	0.29 	0.39 		
24608 	34029 	05164138+4559525 	-0.49 	-0.41 		
27118 	38309 	05450180+0400293 	-0.24 	0.5 		
27517 	39070 	05493654-1429010 	0.09 	0.57 		
28011 	39910 	05553017-0436595 	0.19 	0.16 		
31564 	47138 		0.63 	1.18 		
36962 	60522 	07355535+2653448 	-0.28 	-0.46 		
37636 	62141 	07432219+2223582 	-0.07 	-0.03 		
37908 	62721 	07460745+1830360 	-0.285 	-0.4 		
53064 	93875 	10512375+5919124 	0.27 	0.4 		
53423 	94672 	10554240+0044129 	-0.1 	0.86 		
55219 	98262 	11182874+3305393 	-0.22 	-0.05 		
55249 	98366 	11185496+0139012 	-0.06 	-0.04 		
60351 	107700 	12223029+2550461 	0.295 	0.6 		
62944 	112127 	12535573+2646479 	0.24 	0.48 		
64844 	115604 	13173256+4034213 	0.29 	1.25 		
65951 	117710 	13311578+4206222 	0.21 	0.22 		
75119 	136514 	15210200+0042552 	0.01 	0.1 		
76532 	139254 	15374802-2308300 	-0.01 	-0.02 		
81008 	149161 	16323628+1129168 	-0.42 	-0.58 		
83000 	153210 	16574007+0922299 	0.16 	0.2 		
87540 	162757 	17530353-1053585 	-0.1 	-0.19 		
87833 	164058 	17563637+5129197 	-0.22 	-0.63 		
90174 	169268 	18240358-0334592 	-0.53 	1.28 		
91726 	172748 	18421642-0903092 	0.04 	0.55 		
92997 	176408 	18564503+5748534 	0.1 	0.1 		
94954 	181214 	19191955+0708372 	0.02 	0.76 		
94648 	181984 	19153299+7321195 	0.24 	0.27 		
96229 	184406 	19340535+0722442 	0.115 	-0.05 		
97433 	188119 	19481035+7016045 	-0.27 	-0.2 		
98337 	189319 		-0.21 	-0.56 		
99913 	192836 	20161978+2135553 	0.08 	0.18 		
109068 	209747 	22054074+0503306 	-0.13 	-0.36 		
109005 	209960 	22050048+6247082 	-0.04 	-0.31 		
111761 	214448 	22382214-0753512 	0.4 	1.01 		
115088 	219916 		0.1 	0.57 		
115830 	220954 	23275810+0622442 	0.08 	0.04 		
115953 	221148 	23293207-0431575 	0.34 	0.54 	0.79 	
655 	344 	00080350-3331454 		-0.03 		
759 	483 	00091944+1732020 	-0.4 	0.91 		
2256 	2529 	00284312-5031583 	-0.03 	-0.08 		
3245 	3919 	00411956-4605060 	0.14 	0.31 		
3456 	4211 	00441209-3825181 	0.04 	0.01 		
5951 	7672 	01163630-0230012 	-0.43 			
7361 	9742 	01345079-3153323 	-0.03 	-0.02 		
7271 	10042 		-0.35 	-0.18 		
7921 	10615 	01414796-6047215 	0.23 	0.03 		
7568 	11025 	01372810-8446105 	0.01 	0.15 		
9459 	12524 	02014240-4442484 	-0.29 	-0.77 		
10111 	13423 	02100481-4348561 	-0.07 	0.07 		
11757 	16522 	02314057-7906339 	-0.18 	-0.1 		
13225 	17793 		0.03 	0.18 		
13244 	18293 	02502846-7504010 	0.13 	-0.18 		
16509 	22231 	03323480-5022432 	0.11 	-0.04 		
18199 	24706 	03533335-4653371 	0.16 	-0.03 		
19747 	26967 	04140010-4217396 	-0.005 	0.02 		
20535 	28028 	04240221-3401006 	-0.3 	-0.68 		
23446 	32515 	05022281-3146168 	0.17 	0.05 		
24424 	34253 	05142743-3610155 	-0.06 	0.93 		
25859 	36597 	05311274-3528139 	-0.07 	-0.12 		
27628 	39425 	05505760-3546062 	0.195 	0.07 		
28010 	40176 	05552990-3707143 	0.24 	0.2 		
28413 	40657 	06000335-0304270 	-0.64 	-0.56 		
28328 	40808 	05590881-4248545 	-0.02 	-0.07 		
29193 	42719 	06092771-5123220 	0.29 	1.23 		
29807 	43785 	06163313-3508257 	0.09 	0.09 		
31165 	46568 	06322139-3741479 	-0.27 	-0.23 		
32768 	50310 	06495616-5036523 	-0.02 	-0.11 		
34201 	54038 	07053272-4038255 	0.01 	0.38 		
37664 	62713 	07434192-4056014 	0.02 	-0.05 		
43109 	74874 	08464653+0625075 	-0.01 	0.72 		
60870 	108570 	12283361-5624279 	0.02 	0.48 		
68079 	121416 	13561979-4635346 	0.08 	-0.09 		
80060 	147135 	16202821-1254398 	-0.23 	0.33 		
98032 	188114 	19551570-4152056 	-0.35 	-0.3 		
98842 	190056 	20041958-3203226 	-0.66 	-0.67 		
104174 	200763 	21062467-3220298 	0.03 	-0.02 		
2595 	2954 	00325582+1610019 	0.01 	0.86 		
4382 	5418 	00560911+1357066 	0.01 	0.16 		
9237 	12116 	01584597-1118036 	-0.27 	-0.15 		
11930 	15533 	02335842+7117394 	0.19 	0.26 		
12111 	16150 	02360129+1345182 	-0.02 	-0.43 		
12205 	16314 	02370956+0224556 	0.07 	0.01 		
14355 	19210 	03051126-0816280 	0.16 	0.31 		
16226 	21585 	03290380+0314553 	-0.7 	-0.38 		
44246 	77232 	09003802-2112571 		0.48 		
59980 	106972 	12180414+1826060 	-0.02 	0.19 		
60290 	107569 	12214512+2152218 	0.07 	1.56 		
75810 	138085 	15291215+1623443 	-0.46 	-0.34 		
76209 	138686 	15340347-1413462 	-0.23 	-0.56 		
85289 	157935 	17254090+1623022 	-0.22 	-0.07 		
97144 	186535 	19444129+0843356 	0.04 	0.27 		
106306 	205011 	21315014+2350426 	-0.115 	0.085 		
110487 	212334 	22225028+3639325 	-0.11 			
113705 	217590 	23014357+0331512 	0.13 	0.23 		
116972 	222683 	23424385+1620085 	0.11 	0.19 		
118081 	224349 	23571011-2050012 	-0.19 	-0.05 		
8497 	11171 	01493510-1041110 	0.09 	1.79 		
25918 	37763 	05315292-7620282 	0.155 	0.32 		
46771 	82395 	09315674+1117593 	-0.08 	-0.14 		
46701 	82668 	09311329-5702035 	-0.18 	-0.26 		
55756 	99322 	11252946-3603470 	0.02 	0.07 		
62012 	110458 	12423546-4848469 	0.15 	0.08 		
76259 	138688 	15343732-2802494 	-0.06 	-0.24 		
79195 	145206 	16095052-0328000 	-0.12 	-0.66 		
79980 	146836 	16193272-3054244 	-0.18 	-0.18 		
81304 	149447 	16362247-3515192 	-0.31 	-0.67 		
82273 	150798 	16483989-6901398 	-0.12 	-0.04 		
83081 	152786 	16583719-5559244 	-0.26 	-0.55 		
85312 	157457 		0.1 	0.19 		
90067 	169191 	18224903+1749357 	-0.14 	-0.05 		
92914 	175545 	18555145-0044219 	0.11 	0.06 		
95865 	183275 		0.36 	0.42 		
105665 	203638 	21240959-2051068 	0.14 	0.01 		
48559 	85859 	09541234-2555564 	-0.02 	-0.16 		
93085 	175775 	18574379-2106238 	-0.02 	-0.03 		
417 	6 	00050380-0030109 	0.14 	0.17 		
716 	417 	00085212+2527467 	-0.13 	0.06 		
1076 	895 		0.25 	0.85 		
1319 	1227 	00163403+0814245 	0.11 	0.23 		
1562 	1522 	00192567-0849264 	0.12 	0.18 		
2100 	2273 	00263740-0002583 	-0.32 	-0.11 		
2734 	3166 	00345536+1322161 	0.04 	0.26 		
3092 	3627 	00391967+3051397 	0.115 	0.17 		
3179 	3712 	00403044+5632145 	-0.03 	0.07 		
3419 	4128 	00433536-1759117 	-0.025 	0.08 		
3697 	4526 	00472361+0644272 	0.15 	0.31 		
4185 	5118 	00532822+3725053 	0.11 	0.22 		
5364 	6805 	01083539-1010560 	0.1 	0.12 		
5679 	7229 		-0.15 	-0.01 		
6669 	8634 	01253566+2330411 	-0.055 	1.31 		
6670 	8705 	01253723-1435554 	-0.32 	-0.37 		
6868 	8949 	01282293+0757408 	0.19 	0.16 		
7097 	9270 	01312901+1520452 	-0.09 	0.08 		
7607 	9927 	01375956+4837417 	0.11 			
8645 	11353 	01512762-1020061 	-0.05 	0.02 		
9983 	13013 	02083356+4427341 	-0.31 	-0.11 		
10115 	13137 	02100774+5350352 	0.12 	0.29 		
10718 	13982 	02175989+5753593 	0.06 	0.17 		
11108 	14830 	02225761-1821174 	-0.42 	-0.14 		
11603 	15453 	02293535+0933563 	0.04 	0.13 		
11651 	15464 	02301659+3350011 	0.13 	0.1 		
12148 	16247 	02363506+0743479 	-0.17 	-0.1 		
12287 	16327 	02381782+3743362 	0.11 	1.32 		
12784 	17017 	02441912+1745501 	0.13 	0.11 		
13176 	17484 	02492690+3719350 	0.03 	0.05 		
14060 	18784 	03011001-0739469 	-0.07 	0.05 		
14104 	18832 	03015231+0520104 	-0.3 	-0.22 		
14748 	19637 	03102705+2653463 	-0.18 	-0.14 		
14817 	19656 		-0.07 	-0.05 		
15383 	20559 	03182239-0055490 	-0.15 	-0.01 		
15382 	20610 	03182211-2230400 	0.13 	0.39 		
15557 	20663 	03202557+2539460 	0.13 	0.15 		
15737 	20893 	03224525+2044315 	0.08 	0.09 		
15861 	21017 	03241847+2443267 	0.2 	0.27 		
19011 	25723 	04042270-1247320 	-0.03 	-0.02 		
19037 	25803 	04044091-2022548 	0.13 	0.15 		
19388 	26162 	04090996+1936332 	0.12 	0.14 		
19746 	26605 	04135968+3758017 	0.04 	0.27 		
19736 	26703 	04134982+1245134 	0.17 	0.21 		
19777 	26846 		0.21 	0.25 		
20985 	28505 	04300226+1015439 	-0.13 	-0.01 		
20997 	28625 	04301000-1335323 	0.03 	0.12 		
21408 	29104 	04354256+1952546 	0.16 	0.63 		
22220 	30138 	04464448+4018452 	0.21 	0.3 		
22957 	31421 		-0.25 	-0.2 		
23475 	32393 	05024539-0412364 	0.25 	0.33 		
24727 	34334 	05181056+3322181 	-0.41 	-0.27 		
25806 	36160 	05304334+2227441 	0.1 	0.18 		
26853 	37784 	05420399+2239373 	0.29 	0.39 		
27212 	38495 	05460287-0416067 	0.09 	0.14 		
27673 	39003 	05512939+3908544 	-0.01 	0.03 		
29949 	43380 	06181686+4621376 	0.06 	0.28 		
29982 	43821 	06184034+0902499 	0.03 	0.25 		
30517 	44867 	06245276+1603256 	-0.06 	0.05 		
31205 	46407 	06324687-1109590 	-0.17 	0.25 		
32990 	50282 	06522286-0518586 	0.12 	0.25 		
33271 	50384 	06551520+4549351 	0.08 	0.23 		
33415 	50763 	06565602+4642211 	0.09 	0.17 		
34250 	52708 	07060122+5948066 	0.28 	0.49 		
36896 	60318 	07350881+3057395 	0.12 	0.14 		
37949 	62066 	07464007+6527204 	0.03 	0.02 		
38211 	63697 	07494119-1713417 	0.1 	0.16 		
38307 	63894 	07505524-1107427 	0.12 	0.23 		
38959 	64958 	07581656+4358387 	0.01 	0.1 		
39424 	66216 		0.01 	0.06 		
41060 	69976 	08224403+6037524 	0.06 	0.21 		
41395 	71377 	08264197-1232046 	-0.08 	0.08 		
42365 	73192 	08381899+3248072 	0.07 	0.11 		
42538 	73596 	08401827+3156308 	0.03 	0.1 	0.02 	
42462 	73599 	08392458+0801029 	-0.04 	-0.09 		
43409 	75691 	08503193-2742356 	-0.12 	-0.15 		
43580 	75916 		0.02 	0.02 		
45559 	80050 	09170771-1434267 	-0.34 	-0.19 		
45811 	80586 		0.01 	0.13 		
46146 	81146 	09243927+2610564 	-0.06 	-0.01 		
46618 	82232 	09302249-1534384 	0.12 	0.15 		
46768 	82477 	09315572-1022130 	-0.19 	0.02 		
46904 	82522 	09333036+3629130 	0.06 	0.11 		
46893 	82674 	09331991-0711247 	0.02 	-0.02 		
47431 	83618 	09395135-0108341 	-0.16 	-0.17 		
48413 	85505 	09521199+0004320 	0.02 	0.19 		
48396 	85519 	09515953-1632052 	0.08 	0.15 		
48638 	85583 	09550333+6106581 	0.27 	0.3 		
48861 	86166 	09575683+4524514 	0.12 	0.01 		
48982 	86513 	09593621+2938429 	0.01 	0.04 		
50336 	89024 	10164179+2522146 	-0.08 	-0.08 		
50904 	89993 	10234175+2936575 	-0.21 	-0.19 		
50939 	90125 		-0.02 	-0.08 		
51161 	90472 	10270048+1921523 	0.08 	0.1 		
51233 	90537 	10275302+3642259 	0.11 	0.4 		
51401 	90633 	10295443+6537342 	0.15 	0.22 		
52353 	92424 	10415656+6542586 	0.15 	0.19 		
52943 	93813 	10493747-1611375 	-0.26 	-0.15 		
52948 	93833 	10494349-0951097 	-0.08 	-0.03 		
53043 	93859 	10511100+5634559 	-0.16 	-0.06 		
53740 	95272 	10594651-1817560 	0.055 	0.02 		
54061 	95689 	11034364+6145034 	-0.125 	0.04 		
54539 	96833 	11093979+4429544 	-0.04 	0.07 		
54842 	97501 	11134008+4105196 	0.11 	0.1 		
55282 	98430 	11192047-1446427 	-0.49 	-0.4 		
55412 	98499 	11205376+6706026 	0.23 	0.34 		
56410 	100470 	11335632+3648561 	-0.14 	0.03 		
56731 	101013 	11375301+5037056 	-0.165 	0.01 		
56756 	101112 	11380983+0853017 	0.17 	0.21 		
57214 	101933 	11435513-0640373 	-0.04 	0.1 		
57399 	102224 	11460303+4746457 	-0.44 	-0.3 		
58989 	105043 	12053972+6255594 	-0.15 	0.14 		
59316 	105707 	12100748-2237109 	-0.02 	0.07 		
59708 	106478 	12144341+5326045 	-0.01 	0.12 		
59728 	106485 	12145957-2050393 	0.21 	0.24 		
59856 	106760 	12163014+3303415 	-0.13 	-0.23 		
61134 	109014 	12313871-0503092 	-0.2 	-0.09 		
61246 	109217 	12330288+1017443 	0.12 	0.25 		
61320 	109345 	12334742+3323047 	-0.06 	0.06 		
61719 	109996 		0.16 	0.37 		
62356 	111067 	12463876+1634396 	-0.17 	-0.24 		
62653 	111591 		-0.1 	0.02 		
62763 	111812 	12514192+2732266 	0.17 	1.28 		
63494 	112992 	13003594-0322066 	0.08 	0.11 		
64077 	114092 	13075362+2733214 	0.08 	-0.03 		
64181 	114203 	13091423-0932173 	-0.09 	-0.01 		
64212 	114357 	13093865+3725231 	0.12 	0.15 		
64417 	114724 	13120838+2415291 	0.1 	0.15 		
64496 	114889 	13131240+1843370 	-0.17 	-0.06 		
65639 	116976 	13272717-1558245 	0.22 	0.31 		
66907 	119458 	13424344+3459202 	0.05 	0.24 		
67589 	121146 	13505915+6818551 	0.01 	0.15 		
68739 	122815 	14041455-0522530 	0.09 	0.06 		
68763 	122837 	14042698-1458180 	0.06 	0.1 		
69107 	123977 	14084604+5920154 	-0.17 	-0.09 		
69427 	124294 	14125374-1016254 	-0.43 	-0.5 		
69792 	124990 	14170379-1835087 	-0.13 	-0.03 		
71406 	128402 	14360687+2315013 	-0.05 	0.06 		
72373 	130325 	14475494-1250237 	-0.13 	0.04 		
73745 	133582 	15042675+2656514 	-0.23 	-0.12 		
74083 	134493 	15081952+5003179 	0.03 	0.12 		
74514 	135402 	15133560+3815530 	-0.17 	-0.12 		
75127 	136479 		0.24 	0.27 		
76470 	139063 	15370144-2808062 	-0.21 	-0.29 		
76425 	139195 	15362957+1000365 	-0.02 	0.16 		
76509 	139778 	15373198+5430313 	-0.03 	0.11 		
76594 	139906 	15383420+5025238 	0.1 	0.38 		
76651 	140117 	15390953+5755278 	0.12 	0.06 		
77048 	140716 	15435931+3230568 	-0.02 	-0.02 		
78132 	142980 	15571459+1424517 	0.17 	0.59 		
78685 	144046 		0.07 	0.14 		
79164 	145694 	16092599+5549443 	0.07 	0.16 		
80558 	148287 	16265005+0220525 	-0.06 	0.12 		
80161 	148293 	16214873+6906337 	0.21 	0.18 		
80710 	148880 		-0.02 	0.06 		
81632 	150259 	16403450-2024312 	-0.05 	-0.02 		
82780 	152863 		-0.14 	0.1 		
83688 	154619 	17061305+1027138 	-0.03 	0.15 		
83947 	155410 	17093325+4046371 	-0.06 	0.01 		
84113 	155500 	17114523+0753411 	-0.21 	-0.1 		
84514 	156266 	17163669-0026430 	0.17 	0.24 		
85749 	158837 	17312134+0243283 	0.31 	0.56 		
86130 	159926 	17360811+2811063 	0.07 	-0.03 		
86391 	160315 	17390849+0201412 	0.06 	0.1 		
86506 	160822 		-0.1 	0.03 		
86561 	161193 	17412179+5149051 	0.25 	0.29 		
87194 	162211 	17484915+2537224 	0.075 	0.14 		
87428 	162596 	17515944-0114124 	-0.22 	-0.31 		
88020 	164280 	17584232+3617161 	0.08 	0.23 		
88929 	166411 	18091022+3028098 	0.06 	0.07 		
89931 	168454 	18205962-2949412 	-0.14 	-0.05 		
89826 	168775 	18195170+3603523 	0.13 	0.13 		
90139 	169414 	18234188+2146108 	-0.08 	0.05 		
91117 	171443 	18351242-0814383 	-0.09 	-0.13 		
91523 	172424 	18395160+0721311 	-0.01 	0.2 		
92845 	175190 	18550714-2240168 	-0.18 	0.05 		
93429 	176678 	19014083-0544209 	-0.05 	-0.09 		
93354 	176896 	19005519+3348080 	0.06 	0.13 		
93717 	177463 	19045767-0401530 	-0.32 	-0.4 		
93864 	177716 	19065640-2740133 	-0.18 	-0.12 		
94916 	181122 	19185275+0937052 	-0.13 	0.03 		
95222 	181907 	19222154-0015083 	-0.08 	-0.03 		
95235 	182272 	19223335+3331053 	0.15 	0.21 		
95370 	182635 	19240606+3627072 	-0.11 	-0.09 		
95822 	183492 	19292214+1435456 	0.06 	0.11 		
96706 	185955 	19393452+4557268 	0.04 	0.16 		
97635 	188056 	19503773+5259168 	0.08 	0.13 		
99529 	191753 	20115791-1223327 	-0.18 	-0.23 		
99445 	191814 	20110354+2108043 	-0.4 	-0.17 		
100515 	194220 	20225551+4259007 	0.2 	0.24 		
100587 	194317 	20235162+3211245 		-0.15 		
101245 	195820 	20312114+5218341 	-0.03 	0.08 		
101899 	196852 	20385952+3020033 	0.03 	0.14 		
102158 	197249 	20415815+1731171 	-0.3 	-0.07 		
102499 	198181 		-0.12 	0.18 		
103226 	199012 	20544780-1755222 	-0.51 	-0.11 		
103569 	199766 	20590444+0417366 	-0.05 	0.93 		
103929 	200740 	21032610+5021068 	0.17 	0.31 		
105502 	203504 	21220519+1948163 		0.06 		
105370 	203574 	21203346+6045227 	-0.11 	0.01 		
105695 	203842 	21242456+1010272 		1.45 		
106944 	206067 		-0.07 	-0.01 		
107445 	207088 	21454451+3551262 	-0.23 	-0.05 		
107502 	207134 	21462393+2533484 	0.05 	0.21 		
108632 	209149 	22002669+3300212 	0.07 	1.0 		
109445 	210461 	22102203+1437473 	0.14 	0.28 		
109730 	211006 	22133868+2836287 	0.16 	0.18 		
110009 	211392 	22165257-0902244 	0.01 	0.15 		
110919 	213242 	22281947+6405064 	0.22 	0.22 		
112358 	215510 	22452819+1921591 	-0.08 	0.03 		
113084 	216646 	22540698+4022367 	0.18 	0.2 		
113360 	217019 	22573280+0348370 	0.01 	-0.06 		
114341 	218594 	23092678-2110209 	-0.14 	0.03 		
115171 	219962 	23194137+4822513 	0.02 	0.01 		
115438 	220321 	23225823-2006021 	-0.39 	-0.33 		
115768 	220858 	23271479+0107213 	-0.07 			
115915 	221113 	23290566+2302530 	-0.03 	0.05 		
116292 	221661 	23334298+4503291 	0.12 	0.26 		
116368 	221745 	23344937-1514457 	-0.05 	-0.13 		
116355 	221758 	23343820+3329501 	0.1 	0.13 		
117301 	223165 	23470345+5839072 	0.06 	0.08 		
4914 	6203 	01030253-0450114 	-0.32 	-0.25 		
54291 	96484 	11062751-5057242 	0.22 	0.09 		
57349 	102158 	11453058+4740011 	-0.435 	0.99 	0.08 	
8383 	11038 	01480447-2213239 	-0.26 	0.43 	0.15 	
62129 	110745 	12435936+2719296 	0.085 	0.86 	0.09 	
62800 	111799 	12520746-2627412 	0.12 	0.91 	0.3 	
62839 	112068 	12523653+6635520 	-0.51 	0.03 	-0.09 	
63048 	112257 	12550826+2745589 	-0.03 	1.33 	0.3 	
63778 	113470 	13042111-2641126 	-0.21 	0.59 	0.09 	
67661 	120730 	13514644-2855577 	-0.01 	0.37 	0.25 	
68623 	122967 	14025065+6216117 	0.63 	1.63 		
73593 	133161 	15023305+1603177 	0.185 	0.95 	0.27 	
11053 	14624 	02221678+2616092 	0.11 	0.68 	0.43 	
11505 	15069 	02282069+6213084 	0.02 	0.59 	0.34 	
81880 	150933 	16433009+2042580 	0.135 	0.93 	0.36 	
81947 	151426 	16442110+5454598 	-0.1 	0.43 	0.25 	
82233 	151450 	16480184-1557504 	-0.045 	0.85 	0.3 	
11367 	15189 	02262635-1352474 	0.01 	0.7 	0.3 	
84497 	156062 	17162982-2733558 	-0.02 	0.82 	0.51 	
91215 	171706 	18362735-0434303 	-0.07 	0.71 	0.16 	
93375 	176367 	19010604-2842502 	0.11 	1.45 	0.45 	
96142 	184152 	19325424+0724160 	-0.27 	0.28 	0.19 	
96379 	184700 	19354488-0014251 	-0.17 	0.5 	0.14 	
15199 	20339 	03155340-1447567 	-0.02 	0.7 	0.26 	
106356 	205027 	21322852+0100439 	-0.36 	0.31 	0.17 	
111029 	213338 	22293475+5223250 	0.07 	0.62 	0.3 	
115223 	220008 	23201825+0652207 	-0.21 	0.37 	0.02 	
117259 	223110 	23463445+5509081 	0.14 	1.79 	0.09 	
16792 	22455 	03360798-1705026 	0.04 	0.75 	0.16 	
17603 	23349 	03461537+4227164 	0.12 	0.82 	0.33 	
17790 	23476 	03483000+5746035 	-0.38 	0.35 	0.35 	
110327 	239928 	22204573+5606498 	0.05 	0.72 	0.17 	
2288 	2582 	00291369-2455512 	0.13 	0.78 	0.58 	
19494 	26505 	04103465-2636302 	0.03 	0.63 	-0.03 	
21112 	28635 	04312933+1354125 	0.1 	0.92 	0.29 	
100788 	334372 	20260709+2928015 	-0.08 	0.62 	0.13 	
3033 	3556 	00383448+0601181 	0.13 	0.97 	0.25 	
25880 	35961 	05312897+5439172 	-0.23 	0.45 	0.05 	
846 	603 	00102306-1359023 	-0.16 	0.6 		
37327 	61632 	07394570-1230455 	-0.54 	-0.01 	-0.02 	
5831 	7514 	01144714-2923253 	-0.17 	0.59 	0.39 	
6305 	8173 	01210054-1244346 	-0.01 	0.86 	0.25 	
48000 	84703 	09470490-0037080 	0.02 	0.85 	0.33 	
7090 	9224 	01311949+2924473 	-0.005 	0.72 	0.28 	
53549 	94915 	10571744-1544053 	-0.09 	0.59 	0.28 	
109563 	210631 	22113937+0611365 	-0.35 	0.2 		
72190 	130087 	14455678+1003071 	0.28 	1.86 	0.6 	
60304 	107611 	12215616+2718342 	-0.02 	1.3 		
62350 	111069 	12463418+1122426 	0.25 	1.07 	0.62 	
66781 	119332 	13411342+5643377 	-0.07 	0.03 	0.81 	
69526 	124642 	14135713+3013015 	0.02 	0.12 	0.62 	
75809 	139777 	15291127+8026550 	0.01 	-0.08 	0.32 	
79327 	145729 	16112373+2826187 	-0.04 	0.76 	0.6 	
84616 	156985 	17175040+5226499 	-0.18 	0.02 	0.68 	
86141 	160964 	17361334+7152426 	-0.05 	-0.71 	0.67 	
88324 	164651 	18021787+0006150 	0.05 	0.65 	0.74 	
90427 	170008 	18270162+0912347 	-0.33 	-0.16 	0.29 	
90959 	171314 	18331775+2218515 	0.07 	0.17 	0.97 	
91773 	173605 	18424945+5751547 	0.03 	1.26 		
92283 	174080 	18482922+1044438 	0.04 	0.17 	0.76 	
92569 	174719 	18514842+0301516 	-0.175 	0.37 	0.41 	
95622 	182905 	19265773-0054430 	0.1 	0.6 	0.26 	
97105 	186413 	19440438+0330277 	0.03 	0.61 	0.31 	
97846 	188326 	19530154+3846235 	-0.18 	0.205 	0.52 	
101620 	196218 	20354286+0318101 	-0.11 	0.85 	0.28 	
15405 	20039 	03183846+7216305 	-0.73 	-0.17 	0.52 	
105992 	204734 	21280117+6423163 	0.09 	0.41 	0.46 	
111888 	214683 	22395077+0406581 	-0.46 	-0.18 	0.43 	
113829 	217813 	23030499+2055068 	0.03 	0.02 	0.49 	
115147 	220140 	23192665+7900125 	-0.03 	-0.03 		
115331 	220182 	23213644+4405520 	-0.03 	0.07 	0.65 	
115341 	220221 	23214442+4510339 	0.16 	0.07 	0.96 	
18413 	24409 	03561156+5938309 	-0.135 	0.46 	0.42 	
20949 	283704 	04293075+2640176 	0.2 	0.78 	0.92 	
21272 	28946 	04335040+0523060 	-0.15 	0.24 	0.32 	
29573 	42983 	06135275+0248318 	0.15 	0.05 	0.72 	
31083 	46090 	06312149+0254406 	-0.15 	0.64 	0.62 	
31197 	46301 	06324269+0348525 	0.3 	1.44 		
3876 	4635 	00494647+7026583 	0.07 	0.09 	0.92 	
32010 	47752 	06411570+2357278 	-0.05 	-0.285 	0.66 	
33852 	51866 	07013853+4822439 		0.02 	0.91 	
4454 	5351 	00570437+6902363 	-0.21 	-0.13 	0.63 	
34567 	54371 	07093540+2543433 	0.06 	0.09 	0.77 	
35751 	57707 		0.1 	0.25 	0.2 	
38397 	64021 	07515880+0520586 	0.3 	1.67 		
42575 	73393 	08404215+5540038 	0.045 	0.69 	0.81 	
5944 	7590 	01162926+4256219 	-0.1 	-0.03 	0.27 	
51468 	90875 	10304699+5945040 	0.24 	-0.26 	1.0 	
52667 	93215 	10460923+2545396 	0.255 	0.94 	0.99 	
53486 	94765 	10563080+0723184 	-0.01 	0.1 	0.67 	
54810 	97503 	11131322+0428562 	0.115 	-1.14 	0.75 	
20896 	27172 	04284206+7942068 	-0.12 	1.39 	0.6 	
19431 	26337 	04094089-0753343 	-0.05 	0.77 		
115527 	220476 	23240632-0733028 		0.61 	0.9 	
67090 		13450502+1747105 	0.42 	-2.1 	0.56 	
84309 		17141159+2934096 	-0.38 	0.37 	0.19 	
25973 	36066 	05323377+5713160 	-0.02 	0.11 	0.16 	
17027 	22713 		0.06 	0.22 	0.17 	
4288 	5286 		0.11 	0.05 	0.33 	
